pid,p_brand1,p_brand2,p_brand3,p_brand4,p_brand5
29710442069,食品饮料,粮油调味,方便食品,方便面,和厨 方便面番茄鸡蛋面非油炸泡面大桶装冻干面速食早餐面 12杯整箱装
10097196793005,食品饮料,粮油调味,方便食品,方便面,【5万人已购买】非油炸兰州牛肉面重庆小面杂粮面私房牛肉面 【邀新专享】兰州牛肉面2桶
10068028438725,食品饮料,粮油调味,方便食品,方便面,白象白象方便面汤好喝10口味整箱24袋泡面袋装免煮速食夜宵混合装 【24包整箱】10种口味组合
100091743380,食品饮料,粮油调味,方便食品,方便面,白象白象多半
10047297521458,食品饮料,粮油调味,方便食品,方便面,康师傅 方便面经典泡面袋装24袋红烧牛肉香辣多口味整箱装免煮速食宵夜 【活动冲量】12味24袋全家福套餐
100010259228,食品饮料,粮油调味,方便食品,方便面,康师傅方便面
100057723591,食品饮料,粮油调味,方便食品,方便面,辉英喜达90g*5
10073895430981,食品饮料,粮油调味,方便食品,方便面,白象汤好喝 精炖 混合袋装泡面速食泡面慢熬骨汤营养滋补 辣牛2+母鸡3+猪骨3+精炖红烧2
100072130485,食品饮料,粮油调味,方便食品,方便面,白象走街串巷
10078735575717,食品饮料,粮油调味,方便食品,方便面,白象 大骨面方便面整箱 经典速食袋装方便面汤面 3口味24袋（香辣+原汁+红烧）
58942167997,食品饮料,粮油调味,方便食品,方便面,康师傅1
100039080627,食品饮料,粮油调味,方便食品,方便面,康师傅方便面
10084788300374,食品饮料,粮油调味,方便食品,螺蛳粉,吃在途中四川绵阳米粉红油方便粉丝正宗老开元速食过桥米线免煮泡面螺蛳粉 牛肉笋子1袋+肥肠笋子1袋
100005913441,食品饮料,粮油调味,方便食品,方便面,康师傅方便面
100039186230,食品饮料,粮油调味,方便食品,方便面,康师傅方便面
100068828357,食品饮料,粮油调味,方便食品,方便面,白象拌乐多
100010259230,食品饮料,粮油调味,方便食品,方便面,康师傅方便面
10089918698754,食品饮料,粮油调味,方便食品,方便面,白象大骨面方便面袋装泡面牛面红烧牛肉面夜宵零食整箱批发 【4口味20包混搭】混合装+泡面碗
100024152108,食品饮料,粮油调味,方便食品,其它方便食品,暴肌独角兽djs-魔芋凉皮275*4
100067156391,食品饮料,粮油调味,方便食品,方便面,康师傅方便面
8441949,食品饮料,粮油调味,方便食品,方便面,康师傅方便面
860857,食品饮料,粮油调味,方便食品,方便面,康师傅方便面
100025000160,食品饮料,粮油调味,方便食品,方便面,康师傅方便面
100059257617,食品饮料,粮油调味,方便食品,方便面,白象拌面
10098279384607,食品饮料,粮油调味,方便食品,方便面,和厨方便面番茄鸡蛋海鲜大虾面非油炸泡面桶装冻干面早餐速食懒人食品 番茄鸡蛋面【1杯】
100025381115,食品饮料,粮油调味,方便食品,方便面,康师傅方便面
100022034324,食品饮料,粮油调味,方便食品,方便面,统一统一 茄皇 番茄牛肉面
100003827642,食品饮料,粮油调味,方便食品,方便面,白象汤好喝辣牛肉汤面111g*5袋
100022034304,食品饮料,粮油调味,方便食品,方便面,统一统一 茄皇 番茄牛肉面
