pid,param1,param2,param3
100002242945,1,品牌,奥睿科（ORICO）
100002242945,2,商品名称,奥睿科ORICO CPB2-BK-BP
100002242945,2,商品编号,100002242945
100002242945,2,商品毛重,0.8kg
100002242945,2,商品产地,中国大陆
100002242945,2,适用对象,其他
100002242945,2,类别,其他配件
100061121082,1,品牌,爱国者（aigo）
100061121082,2,商品名称,爱国者JV13 黑
100061121082,2,商品编号,100061121082
100061121082,2,商品毛重,4.6kg
100061121082,2,商品产地,中国大陆
100061121082,2,水冷类型,240冷排，120冷排
100061121082,2,体型,中型机箱（中塔机箱）
100061121082,2,机箱重量,<5kg
100061121082,2,RGB光控,不支持RGB光控
100061121082,2,颜色,黑色
100061121082,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100014364828,1,品牌,爱国者（aigo）
100014364828,2,商品名称,爱国者爱国者（aigo）YOGO K1钛灰色 游戏药丸双侧开门全侧透电脑机箱
100014364828,2,商品编号,100014364828
100014364828,2,商品毛重,10.59kg
100014364828,2,商品产地,中国大陆
100014364828,2,水冷类型,360冷排，280冷排，240冷排，120冷排
100014364828,2,体型,中型机箱（中塔机箱）
100014364828,2,机箱重量,8-12kg
100014364828,2,RGB光控,不支持RGB光控
100014364828,2,支持主板,E-ATX（加强型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100014364828,2,颜色,黑色
100019630618,1,品牌,长城（Great Wall）
100019630618,2,商品名称,长城本色K-13
100019630618,2,商品编号,100019630618
100019630618,2,商品毛重,5.44kg
100019630618,2,商品产地,中国大陆
100019630618,2,水冷类型,240冷排，120冷排
100019630618,2,体型,中型机箱（中塔机箱）
100019630618,2,机箱类型,玻璃侧透机箱
100019630618,2,机箱重量,<5kg
100019630618,2,RGB光控,不支持RGB光控
100019630618,2,支持主板,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100019630618,2,颜色,黑色
100041626491,1,品牌,乔思伯（JONSBO）
100041626491,2,商品名称,乔思伯松果D31 标准版黑色
100041626491,2,商品编号,100041626491
100041626491,2,商品毛重,7.06kg
100041626491,2,商品产地,中国大陆
100041626491,2,水冷类型,360冷排
100041626491,2,体型,小型机箱
100041626491,2,机箱类型,玻璃侧透机箱
100041626491,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100047731342,1,品牌,半岛铁盒（PADO）
100047731342,2,商品名称,半岛铁盒白泽360 白色
100047731342,2,商品编号,100047731342
100047731342,2,商品毛重,6.9kg
100047731342,2,商品产地,中国大陆
100047731342,2,体型,小型机箱
100047731342,2,机箱类型,玻璃侧透机箱
100047731342,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
10069040435437,1,品牌,联想（Lenovo）
10069040435437,2,商品名称,联想（Lenovo）510Pro
10069040435437,2,商品编号,10069040435437
10069040435437,2,商品毛重,6.8kg
10069040435437,2,屏幕尺寸,无显示器
10069040435437,2,系列,联想-天逸510Pro
10069040435437,2,支持IPv6,支持IPv6
10069040435437,2,系统,Windows 11
10069040435437,2,机箱大小,10-20L
10069040435437,2,处理器,intel i5
10069040435437,2,硬盘容量,512GB SSD+1TB HDD
10069040435437,2,内存容量,16GB
10069040435437,2,显卡型号,集成显卡
10069040435437,2,类型,单主机
10069040435437,2,特性,无线上网
10069040435437,2,适用场景,商用
100025663574,1,品牌,先马（SAMA）
100025663574,2,商品名称,先马平头哥M2
100025663574,2,商品编号,100025663574
100025663574,2,商品毛重,4.6kg
100025663574,2,商品产地,中国大陆
100025663574,2,水冷类型,240冷排，120冷排
100025663574,2,体型,小型机箱
100025663574,2,机箱类型,玻璃侧透机箱，异形机箱
100025663574,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100025663574,2,颜色,黑色
10094732734470,1,品牌,航嘉（Huntkey）
10094732734470,2,商品名称,航嘉（Huntkey）V320初恋全景版
10094732734470,2,商品编号,10094732734470
10094732734470,2,店铺,晨惠电脑配件专营店
10094732734470,2,商品毛重,5.0kg
10094732734470,2,水冷类型,240冷排，120冷排
10094732734470,2,体型,中型机箱（中塔机箱）
