作者,打分,评论
鲁镇周可儿,很差,我想知道哪里纯洁？是导演空荡荡的大脑吗？
solong,很差,看哭了。难看哭了。
小歪,很差,本来想打五颗星，但是：怎么办 怎么办爸爸妈妈说不许不许叔叔阿姨说NO NO NO NO哥哥姐姐也说算了算了 我也是这么想的！
账房先生,很差,卧槽这电影的海报就跟二十年前的三级片封面似的，抠图极不自然，每个人拍照打光的方向也不一样，户外照和棚拍混在一起，还不如有些劣质网剧！
可爱的骨头,很差,我很好奇中戏和北影表演系学生看了后会作何感想。
当归,很差,好奇心使我点进去，求生欲使我退出来
韵外之致,很差,我觉得这部电影唯一的正能量就是揭示了当代中国影业的乱象 不是电影中描述的 而是这部电影本身 就是一个搞笑的 无可救药的 荒诞的 具有历史性 纪实性 值得作为极端案例加以分析的 充满丑态的现实刻画
阿浪,很差,教师节前一日，导演回母校放映，全场尴尬，三个小时如坐针毡，完了对峙导演答非所问。剪辑和故事在所谓的探索中没有取得成效，审美停留在十八线小县城水平。华丽的众筹一千九百万，成功为1617两年最烂影片兜底。导演后来还把现场起哄声掌声放微博上剪成“看电影学院师生的激动反应”真是人不要脸…
Sue,很差,没有想过一部电影的笑点可以低级到这个程度
宋小君,很差,拍不好是能力问题，自己还偏偏觉得好是智商问题。
夏娃的诱惑,很差,我呕心沥血上12年学都没考上哈佛，凭什么你呕心沥血12年拍个电影就必须得成功让大家都说好？在中国能让你圈点钱已经不错了还妄图名正言顺地上位？真是无耻至极。
Liya,很差,太差了！在我们学校试映，全影院的学生全程吐槽！一开始还忍住了哄笑，后来兼简直忍不住。那叫电影…………整个画风是城乡结合部的感觉 一开始毕志飞在讲电影如何如何获得好评，然后有些小期待。看了之后简直了！不要去电影院浪费时间了，真的很难看
angee,很差,此片是不是可以用于刑讯逼供？
july,力荐,首先感谢电影剧组把全国万里行路演的首站放到我们学校。1号晚上看见你们的电影真的是很惊喜，好久没看到这么有意思的电影了，看的我真是笑中带泪。虽然电影播放过程中出了点小意外，视频卡住了一段时间，但是现场都没有同学走，大家一直在默默等待。哈哈，看来大家都是有共识的，好电影不容错过！！！
豆芽™😷,很差,心灵是有多不纯洁？拍这玩意需要12年吗？是不是把9年义务教育跟3年高中都算上才凑足了12年？一星都给多了！👎
古尔齐亚,很差,网吧word水平的海报，请国家有关部门尽快贯彻落实供给侧改革和四个全面的精神，淘汰这种电影工业中的高能耗落后产能，不要为中华民族的伟大复兴拖后腿好么
甜水园子温,很差,真·前所未见
王小能,很差,用权力和资本强奸电影艺术和电影观众。
皮蛋仁波切,很差,有多难看呢：枪版资源压制者特意加速了
浆糊骗子,很差,超级迷你小圈子自娱视频 全程在盯着每个人的第一次 剧情走向能不歪嘛 突然掰直怪电影局的规定咯？教授还是讲师还是班主任像支教青年一样专心爱学生 请问这学校培养过正牌演员嘛？忘记学校叫什么名字了 教育部门该仔细查查办学资质 毕业班居然没有缺勤全员拍戏 小学生的作文思路都比这成熟
LORENZO 洛伦佐,很差,怎么能有2.1，必须帮毕导拉回到理论上无法实现的2.0
Pantona,很差,其实不是看过，主题曲听了3秒我就想随大流打负分。无奈只能打一星。这个节奏我想起了那一年在村头的李二狗，穿着紧身红裤子，乐步最新款旅游鞋，印着火星文的长袖起球T恤。当然还有那一头8个颜色的彩发。他在村口跟隔壁村的王建强斗舞，在5厘米深的灰尘里甩托马斯全旋的美好青春。
悲伤的美女,力荐,中国cult片巨制
淋,很差,毕导我爱您
cassetteman,很差,确实太差了。14亿中国人都去当导演，十二年之后必须交个作品的话，估计会诞生13亿部比这个好的电影吧。
兽,很差,为净化自己的生存环境而出一星之力
丁一,很差,今天终于看到成片了，是不期而遇的喜悦，难得的一个好作品，吹来一股清新之风。在美学上，在风格上，在类型挖掘上，群像叙事，多重关系，复杂矛盾，多声部的结构，组成一个和弦，又不横向争执，浑然一体色彩纷呈，特别考验导演功力，题目起得特别好，初心不忘定位很好，有一种特别的价值
好运切,很差,记住导演的名字，避免以后猝不及防地吃屎。
荻野荡漾,很差,这是我第一次想花钱去看看一部电影能拍得多烂
曜,很差,这部烂片的原海报足以气死设计师，其中歌词足以气笑小学语文老师，只看简介就觉老套加弱智的剧情扑面而来。不知导演有多大的勇气让它上映，换做是负责任的导演一定恨不能把它封印起来沉入湖底以免遗臭万年。
GAOMOZ,很差,建议去听一下主题曲，我一遍没听完就已经被洗脑：逐梦 逐梦 逐梦演艺圈圈圈圈圈圈圈圈圈圈圈圈。
寒枝雀静,很差,空间的切换与叙述视角的变化实验性地缝合，构造出一幅生动多面的复调演艺圈群像；对演艺圈潜规则毫不留情的揭露与鞭挞，直达结构性社会顽疾；男权、女权、LGBTQ多元呈现，师生恋、SM探幽人性欲望深渊；光色霓虹四溢，剪辑朝气蓬勃，运镜汹涌澎湃，时空流转出神入化；演员不事雕琢真情流露，令人动容。
阿暖,很差,我是真的看了这部电影，我觉得自己可以说是个智障了。
猫千姿,很差,简直是他妈个笑话　尬中之王　本届最尬，２０１７最烂烂片就是这了。
亵渎电影,很差,小学生作文思维的剧本，小镇影楼风格的画风，有种看导演认认真真拍了一部烂片的感觉，他的艺术造诣也就到这里了，都不好意思说什么了，简直就是中国版的【房间】，不知道谁来拍一个中国版的【灾难艺术家】？
外滩5号,很差,就一部电影上了12次厕所……我真的拉稀了
后台先生,很差,我不是故意添乱，这片我三年前真的看过，当时导演拿着片子来公司找合作。。。
富大宝不骂街,很差,就像电话诈骗一样过时
Lynn,很差,听完歌特此一星 另外强烈要求豆瓣推出0星的标准
土伯公,力荐,这片笑得很嗨森。😂《外太空九号计划》我都打五星，这片又有什么理由不五星？毕导，再接再厉。文艺圈、体育圈、科技圈、农业圈....排队等你逐梦。
饲养员的雪梨梨,很差,还是摸着我的良心改回了它应得的分数
Rachel,很差,本来想打五颗星 但是：怎么办 怎么办 爸爸妈妈说不许不许 叔叔阿姨说NO NO NO NO 哥哥姐姐也说算了算了 我也是这么想的！233333333333
喵二妞,很差,我要说一句，导演！！！我用PPT做出来的海报比你们的好看！
jiyun,很差,看到第 12 分钟壁咚那段，实在是撑不住了。感觉还不如那个金坷垃广告拍得好。怀疑是洗钱。
麦垄风来翠浪斜,很差,苍天啊，果然好奇心害死猫，我为什么要手贱点开这个片子，我的眼睛被辣到了，眼药水都救不了。
亞歷山大裡亞,很差,黑到深处自然粉，我现在对这个导演已经怀着一种深沉的敬意了hhhh
林妇女,很差,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝
王大根,很差,大开眼界了只能说，里面都有个女孩叫白洁了，可见毕导是真纯洁
Marine Florick,很差,为了中国电影的质量，这个脏话一定要骂：你们全剧组应该跪下给观众道歉，拍90分钟你们全剧组吃屎都比这片子好看。导演转行吧，电影不承认你的邪教审美；演员也转行吧，你们第一部就拍了这样的片子，以后怎么混。
Doodle,很差,极其不负责任的表演态度，散乱无比的剧情，根本不能称之为一件作品，更像是杂乱无章的生活的片段的无脑拼凑，导演砸了自己的招牌，更对不起自己北大人的身份
L的小小L,很差,我把摄影机扔进马桶过俩小时再捞上来估计都比这电影精彩
ZWW,很差,"""Low"" to  die"
Rocinante,很差,我就是这么不理智
LamDylan,很差,当我老了，我能自豪地对我的儿子说，你爹当年看了一部超级大烂片，竟然坚持了3分钟，你爹绝不是你娘说的只有3秒钟的男人！
[已注销],很差,用12年的时间践行自己的确不是拍电影的那块儿料.
大甜甜~~,很差,魑魅魍魉。
豆友35183052,很差,不要侮辱表演专业
神威,很差,敬年轻英俊
李小丢,很差,众筹律师费给阿北和众筹做掉毕志飞的项目都请带上我！
八圈,很差,我来支持一下。
神侦探卡门,很差,向富春山居图，爵迹，封神传奇，何以箫声默，微微一笑很倾城，盗墓笔记，九层妖塔等一众影片道歉，因为比起来你们至少拍出了一个电影。
